"Company","Specific_Bean_Origin_or_Bar_Name","REF","Review_Date","Cocoa_Percentage","Company_Location","Rating","Bean_Type","Broad_Bean_Origin","is_bitter"
"A. Morin","Agua Grande",1876,2016,63,"France",3.75,NA,"Sao Tome","No"
"A. Morin","Kpime",1676,2015,70,"France",2.75,NA,"Togo","Yes"
"A. Morin","Atsane",1676,2015,70,"France",3,NA,"Togo","Yes"
"A. Morin","Akata",1680,2015,70,"France",3.5,NA,"Togo","Yes"
"A. Morin","Quilla",1704,2015,70,"France",3.5,NA,"Peru","Yes"
"A. Morin","Carenero",1315,2014,70,"France",2.75,"Criollo","Venezuela","Yes"
"A. Morin","Cuba",1315,2014,70,"France",3.5,NA,"Cuba","Yes"
"A. Morin","Sur del Lago",1315,2014,70,"France",3.5,"Criollo","Venezuela","Yes"
"A. Morin","Puerto Cabello",1319,2014,70,"France",3.75,"Criollo","Venezuela","Yes"
"A. Morin","Pablino",1319,2014,70,"France",4,NA,"Peru","Yes"
"A. Morin","Panama",1011,2013,70,"France",2.75,NA,"Panama","Yes"
"A. Morin","Madagascar",1011,2013,70,"France",3,"Criollo","Madagascar","Yes"
"A. Morin","Brazil",1011,2013,70,"France",3.25,NA,"Brazil","Yes"
"A. Morin","Equateur",1011,2013,70,"France",3.75,NA,"Ecuador","Yes"
"A. Morin","Colombie",1015,2013,70,"France",2.75,NA,"Colombia","Yes"
"A. Morin","Birmanie",1015,2013,70,"France",3,NA,"Burma","Yes"
"A. Morin","Papua New Guinea",1015,2013,70,"France",3.25,NA,"Papua New Guinea","Yes"
"A. Morin","Chuao",1015,2013,70,"France",4,"Trinitario","Venezuela","Yes"
"A. Morin","Piura",1019,2013,70,"France",3.25,NA,"Peru","Yes"
"A. Morin","Chanchamayo Province",1019,2013,70,"France",3.5,NA,"Peru","Yes"
"A. Morin","Chanchamayo Province",1019,2013,63,"France",4,NA,"Peru","No"
"A. Morin","Bolivia",797,2012,70,"France",3.5,NA,"Bolivia","Yes"
